year;sp500_close_abs;sp500_close_rel_chg;vix_abs;vix_rel_chg;target_1d;target_5d;target_10d;target_20d
1990;338.70;-0.003647703;22.84;0.157627978;0.014585179;0.007883082;0.017655743;-0.019043401
1990;343.64;0.014585179;20.440001;-0.105078765;-0.007420556;-0.004568735;-0.008497265;-0.026655803
1990;341.09;-0.007420556;22.030001;0.077788646;-0.00105544;0.002433375;-0.008795333;-0.016183412
1990;340.73;-0.00105544;21.209999;-0.037222059;-0.001907669;0.010594899;-0.016464649;-0.006867608
1990;340.08;-0.001907669;21.76;0.025931213;0.003793225;0.013702658;-0.026552576;0.001323218
1990;341.37;0.003793225;22.299999;0.024816131;0.002050561;0.009696224;-0.032252395;0.001874799
1990;342.07;0.002050561;21.690001;-0.027354172;-0.000438507;-0.003946561;-0.029350718;0.002309469
1990;341.92;-0.000438507;17.73;-0.182572652;0.007077679;-0.011201451;-0.026321947;0.005556855
1990;344.34;0.007077679;19.799999;0.116751213;0.001161643;-0.026775861;-0.044229541;0.022245455
1990;344.74;0.001161643;20.75;0.047979851;-0.000174044;-0.039711087;-0.040436271;0.029036375
1990;344.68;-0.000174044;20.379999;-0.017831373;-0.011488917;-0.041545782;-0.036062435;0.027851921
1990;340.72;-0.011488917;22.67;0.112365118;-0.007718948;-0.025504813;-0.018314158;0.038976286
1990;338.09;-0.007718948;22.459999;-0.009263388;-0.008784643;-0.015291786;-0.007453637;0.048448638
1990;335.12;-0.008784643;23.33;0.038735576;-0.012144903;-0.017933874;0.009757699;0.058247792
1990;331.05;-0.012144903;24.16;0.035576511;-0.002084277;-0.000755173;0.028636158;0.081407642
1990;330.36;-0.002084277;21.700001;-0.101821151;0.005055091;0.005721032;0.03526456;0.084967914
1990;332.03;0.005055091;20.860001;-0.038709676;0.002680481;0.007378851;0.032617535;0.082101015
1990;332.92;0.002680481;20.25;-0.029242616;-0.011444191;0.00795987;0.032740598;0.076564941
1990;329.11;-0.011444191;22.190001;0.095802519;0.005135061;0.028197259;0.069551214;0.077390538
1990;330.80;0.005135061;19.52;-0.12032451;0.004383313;0.029413543;0.072400242;0.090235792
1990;332.25;0.004383313;18.43;-0.055840164;0.006711813;0.02937547;0.066305493;0.086109857
1990;334.48;0.006711813;19.32;0.04829083;0.00325879;0.025053815;0.058359244;0.079974886
1990;335.57;0.00325879;17.809999;-0.078157402;0.008403612;0.024585034;0.056322079;0.082218315
1990;338.39;0.008403612;17.280001;-0.029758452;0.006324064;0.040219865;0.048021514;0.085729484
1990;340.53;0.006324064;17.65;0.021411978;0.004346166;0.041758435;0.051302382;0.076674595
1990;342.01;0.004346166;18.49;0.047592068;0.002485307;0.035876144;0.048010292;0.067103301
1990;342.86;0.002485307;18.639999;0.008112439;0.002799977;0.032491396;0.047920434;0.059178674
1990;343.82;0.002799977;18.59;-0.00268235;0.023791519;0.03097551;0.042434995;0.043307545
1990;352.00;0.023791519;19.809999;0.065626627;0.0078125;0.0075;0.007329545;0.027357955
1990;354.75;0.0078125;20.139999;0.016658254;-0.001324877;0.009161381;0.016631431;0.032417195
1990;354.28;-0.001324877;19.49;-0.032274033;-0.000790335;0.011713899;0.01857288;0.02997629
1990;354.00;-0.000790335;17.709999;-0.091328938;0.001327684;0.014943503;0.020423729;0.025141243
1990;354.47;0.001327684;17.27;-0.024844665;0.000479589;0.011115186;0.024515474;0.023810196
1990;354.64;0.000479589;17.200001;-0.004053214;0.009474397;-0.000169186;0.035980149;0.006316264
1990;358.00;0.009474397;16.719999;-0.027907091;0.001201117;0.007402235;0.024134078;0.001312849
1990;358.43;0.001201117;17.84;0.06698571;0.002399353;0.006779566;0.018218341;0.001869263
1990;359.29;0.002399353;17.18;-0.036995516;-0.002449275;0.005399538;0.010743411;0.003284255
1990;358.41;-0.002449275;17.700001;0.030267811;-0.010686086;0.013252978;0.00083703;-0.0083145
1990;354.58;-0.010686086;17.32;-0.021468982;0.017118845;0.036155452;0.019882678;-0.00640194
1990;360.65;0.017118845;18.75;0.08256351;0.000582282;0.016608901;0.01552752;-0.023818106
1990;360.86;0.000582282;17.440001;-0.069866613;0.001025328;0.011361747;0.011195477;-0.015851023
1990;361.23;0.001025328;17.370001;-0.004013761;0.005342856;0.005315173;0.004623093;-0.00996595
1990;363.16;0.005342856;17.09;-0.016119803;0.011675295;-0.012253552;-0.000688402;-0.014153541
1990;367.40;0.011675295;18.389999;0.076067817;-0.00206859;-0.015704954;-0.028633642;-0.021393576
1990;366.64;-0.00206859;18.969999;0.031538882;-0.004582151;-0.001063714;-0.022283439;-0.017674013
1990;364.96;-0.004582151;17.42;-0.081707912;-0.004959448;-0.000164402;-0.016056554;-0.025427444
1990;363.15;-0.004959448;16.879999;-0.030998909;-0.012226353;-0.000688421;-0.007379871;-0.013024921
1990;358.71;-0.012226353;17.58;0.041469256;0.00814028;0.011708623;-0.009143877;0.002258091
1990;361.63;0.00814028;16.34;-0.070534699;0.012775489;-0.013134972;-0.025772198;-0.014213423
1990;366.25;0.012775489;16.6;0.015911873;-0.003686007;-0.021242321;-0.038744027;-0.013706485
1990;364.90;-0.003686007;17.379999;0.046987892;-0.005480954;-0.015894766;-0.026747054;0.001479857
1990;362.90;-0.005480954;17.4;0.001150806;2.76E-05;-0.00669606;-0.014521907;0.012152108
1990;362.91;2.76E-05;15.9;-0.086206897;-0.01661569;-0.020611171;-0.013474415;0.016643245
1990;356.88;-0.01661569;17.709999;0.113836415;0.004455279;-0.012805425;0.007453486;0.029813943
1990;358.47;0.004455279;15.23;-0.140033831;0.001757469;-0.017881552;0.004714481;0.016040394
1990;359.10;0.001757469;15.27;0.002626395;0.003815093;-0.011027569;-0.00952381;0.01732108
1990;360.47;0.003815093;14.72;-0.036018337;-0.013981746;-0.007878603;-0.00568702;0.003162538
1990;355.43;-0.013981746;19.360001;0.315217459;-0.0087781;0.007286948;0.011507188;-0.000337619
1990;352.31;-0.0087781;17.059999;-0.11880175;-0.000709602;0.0205217;0.011864551;0.009877665
1990;352.06;-0.000709602;16.290001;-0.045134704;0.008748509;0.023007442;0.026046697;0.014287337
1990;355.14;0.008748509;16;-0.017802393;0.007011319;0.001520527;0.029002647;0.002168159
1990;357.63;0.007011319;16.18;0.01125;0.001090513;0.002208987;0.027067081;-0.011716019
1990;358.02;0.001090513;15.5;-0.042027194;0.004245573;0.00418971;0.030529021;-0.006899056
1990;359.54;0.004245573;16.26;0.049032258;0.001724426;-0.008483062;0.022195027;-0.009428714
1990;360.16;0.001724426;16.110001;-0.009225031;-0.012438916;0.002970902;0.011272768;-0.012883163
1990;355.68;-0.012438916;17.25;0.070763434;0.007703554;0.027440396;0.027103014;-0.011808367
1990;358.42;0.007703554;16.41;-0.048695652;0.003069025;0.024803303;0.008900173;-0.03783271
1990;359.52;0.003069025;16.66;0.015234613;-0.008427904;0.026229417;-0.011710058;-0.069787494
1990;356.49;-0.008427904;16.92;0.015606242;0.013296306;0.030940559;-0.001963589;-0.060759068
1990;361.23;0.013296306;16.68;-0.014184397;0.011654624;0.008277275;-0.011460842;-0.063339147
1990;365.44;0.011654624;17.059999;0.022781715;0.005117119;-0.000328371;-0.026078152;-0.069778897
1990;367.31;0.005117119;17.09;0.001758558;0.004464893;-0.015518227;-0.037761019;-0.086548147
1990;368.95;0.004464893;16.75;-0.019894675;-0.003875864;-0.036969779;-0.036319284;-0.081609974
1990;367.52;-0.003875864;16.66;-0.005373134;-0.008979103;-0.03191663;-0.030937092;-0.076540052
1990;364.22;-0.008979103;18.9;0.134453782;0.003020153;-0.01957608;-0.023886662;-0.066333535
1990;365.32;0.003020153;18.559999;-0.017989471;-0.01015548;-0.025758239;-0.037884594;-0.090140151
1990;361.61;-0.01015548;15.63;-0.157866334;-0.017422085;-0.022593402;-0.046320622;-0.093415558
1990;355.31;-0.017422085;23.68;0.515035189;0.001350933;0.000675466;-0.058765585;-0.075427092
1990;355.79;0.001350933;21.790001;-0.079814147;0.003653841;0.001011833;-0.058911155;-0.095365244
1990;357.09;0.003653841;20.190001;-0.073428175;-0.003304489;-0.004396651;-0.052479767;-0.113528802
1990;355.91;-0.003304489;20.26;0.003467013;-0.006939957;-0.012446967;-0.044870894;-0.1372538
1990;353.44;-0.006939957;21.120001;0.042448223;0.005969896;-0.02427569;-0.050701675;-0.118633997
1990;355.55;0.005969896;21.16;0.001893892;0.001687526;-0.059400928;-0.046997609;-0.095935874
