year;open_abs;high_abs;low_abs;close_abs;close_rel_chg;vol_abs;vol_rel_chg;range_abs;range_rel;1d_rel_chg;5d_rel_chg;10d_rel_chg;20d_rel_chg
1982;110.5;111.22;109.9;109.96;-0.011506652;40100000;-0.415537094;1.32;0.012004365;-0.002455438;-0.025100036;0.002728265;-0.00463805
1982;109.63;109.96;108.98;109.69;-0.002455438;44970000;0.121446384;0.98;0.008934269;-0.007475613;-0.012672076;0.004740633;0.006837451
1982;110.1;110.13;108.82;108.87;-0.007475613;56280000;0.251501001;1.31;0.0120327;-0.011665289;0.011665289;0.006797097;0.014696427
1982;108.01;108.85;107.48;107.6;-0.011665289;49230000;-0.125266525;1.37;0.012732342;-0.002973978;0.020724907;0.010315985;0.032249071
1982;107.6;107.6;107.07;107.28;-0.002973978;53800000;0.092829575;0.53;0.004940343;-0.000745712;0.017337808;0.003448919;0.032158837
1982;107.28;107.88;107.01;107.2;-0.000745712;50370000;-0.063754647;0.87;0.008115672;0.010261194;0.028544776;0.000839552;0.040485075
1982;107.25;108.3;107.17;108.3;0.010261194;55290000;0.097677189;1.13;0.01043398;0.016989843;0.017636196;-0.009972299;0.028808864
1982;108.59;110.14;108.09;110.14;0.016989843;62710000;0.134201483;2.05;0.018612675;-0.0028146;-0.004812057;-0.023697113;0.012166334
1982;110.25;110.92;109.79;109.83;-0.0028146;55860000;-0.109232977;1.13;0.010288628;-0.006282436;-0.010197578;-0.00910498;0.012200674
1982;109.56;109.83;109.09;109.14;-0.006282436;38740000;-0.306480487;0.74;0.006780282;0.010262049;-0.01365219;0.003939894;0.011178303
1982;109.3;110.45;109.17;110.26;0.010262049;40700000;0.050593702;1.28;0.011608924;-0.000453474;-0.026936332;-0.007346272;-0.007527662
1982;110.26;110.57;109.68;110.21;-0.000453474;46990000;0.154545455;0.89;0.008075492;-0.005444152;-0.027130024;0.002086925;-0.022411759
1982;110.95;111;109.5;109.61;-0.005444152;65280000;0.389231751;1.5;0.013684883;-0.00821093;-0.018976371;0.007845999;-0.017242952
1982;109.52;109.63;108.62;108.71;-0.00821093;47900000;-0.266237745;1.01;0.009290774;-0.009750713;0.001103854;0.021709134;-0.014902033
1982;108.1;108.71;107.6;107.65;-0.009750713;43760000;-0.086430063;1.11;0.010311194;-0.003344171;0.017835578;0.02861124;0.012354854
1982;107.27;107.67;106.74;107.29;-0.003344171;44350000;0.013482633;0.93;0.008668096;-0.000652437;0.020132352;0.039612266;0.005033088
1982;107.08;107.61;106.99;107.22;-0.000652437;46920000;0.05794814;0.62;0.005782503;0.002891252;0.030031711;0.039171796;-0.010072748
1982;106.85;107.53;105.57;107.53;0.002891252;63270000;0.348465473;1.96;0.018227471;0.012089649;0.027341207;0.036733935;-0.022040361
1982;108.23;108.97;107.56;108.83;0.012089649;65870000;0.041093725;1.41;0.012955986;0.006799596;0.02058256;0.021501424;-0.047045851
